10:01:23    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact
10:05:01      2908400   5169332     63,99    910496   1815872   4147916     27,18   2675928   2078564
10:15:01      2797585   5280147     65,38    918960   2017560   4168140     27,30   2613600   2165444
10:25:01      2340119   5737613     71,03    915084   2311596   4069948     26,98   3038296   2152860
10:35:01      2563064   5514668     68,27    919516   2214280   3806304     22,71   2741760   2468780
10:45:01      2866464   5211268     64,51    910112   1841036   4196456     27,50   2697036   2099644
10:55:01      2697964   5379768     66,60    913840   2317312   3861368     27,25   2663480   2357212
11:05:01      2882024   5195708     64,32    910908   1819704   4192244     27,47   2707288   2073332
11:15:01      2850868   5226864     64,71    911316   1819372   4187264     27,44   2753548   2058636
11:25:01      2844228   5233504     64,79    911652   1819444   4186116     27,43   2770340   2047744
11:35:01      2778920   5298812     65,60    912064   1820588   4266084     27,96   2791656   2091752
11:45:01      2692928   5384804     66,66    912548   1822504   4419016     28,96   2835180   2134552
11:55:01      1426736   6650996     82,34    917156   2461592   5202912     34,09   3679496   2535468
12:05:01      1782148   6295584     77,94    917376   2397456   4928392     32,30   3389124   2471756
12:15:01      1704976   6372756     78,89    917548   2406016   4992500     32,72   3461688   2477092
12:25:01      2250556   5827176     72,14    917712   2405316   4100776     26,87   2918536   2477824
12:35:01      2855676   5222056     64,65    918080   2273656   3495136     22,90   2480768   2312312
12:45:01      2828756   5248976     64,98    918288   2271312   3516388     23,04   2510692   2309300
12:55:01      2638108   5439624     67,34    918524   2364024   3698276     24,23   2617092   2389792
13:05:01      2649924   5427808     67,19    918784   2365388   3683260     24,14   2631668   2363936
13:15:01      2673904   5403828     66,90    918988   2365648   3648708     23,91   2641828   2329084
13:25:01      2686576   5391156     66,74    919192   2366664   3601700     23,60   2636616   2321540
13:35:01      2732428   5345304     66,17    919404   2362132   3594376     23,55   2595512   2317504
13:45:01      2711892   5365840     66,43    919588   2361644   3651588     23,93   2615360   2317084
13:55:01      2708156   5369576     66,47    919752   2369060   3612820     23,67   2612608   2323760
14:05:01      2694016   5383716     66,65    919964   2371800   3634652     23,82   2624112   2326552
14:15:01      2697580   5380152     66,60    920168   2369620   3631944     23,80   2626104   2321416
14:25:01      2694112   5383620     66,65    920368   2369252   3615900     23,69   2628084   2322908
14:35:01      2713696   5364036     66,41    920532   2378360   3609540     23,65   2597716   2333828

Average:      2599683   5478049     67,82    916850   2215187   3976440     26,06   2764284   2286074

