10:01:23        CPU     %user     %nice   %system   %iowait    %steal     %idle
10:05:01        all      0,03      0,00      3,51      0,40      0,00     96,06
10:15:01        all     17,67      7,94      1,78      2,33      0,00     70,28
10:25:01        all     18,63      7,87      1,86      1,22      0,00     70,43
10:35:01        all      6,00     16,07      2,08      1,26      0,00     74,59
10:45:01        all     15,17      8,21      1,90      1,11      0,00     73,61
10:55:01        all      3,16     14,61      6,86      0,53      0,00     74,84
11:05:01        all      7,98     12,43      6,08      1,01      0,00     72,50
11:15:01        all     12,36      8,62      3,16      0,66      0,00     75,21
11:25:01        all     18,36      7,15      1,72      0,94      0,00     71,83
11:35:01        all     16,71      7,92      1,69      1,04      0,00     72,65
11:45:01        all      3,74     16,61      8,16      0,47      0,00     71,02
11:55:01        all     12,03     11,59      1,95      1,17      0,00     73,26
12:05:01        all     16,24      8,36      1,71      1,24      0,00     72,44
12:15:01        all      4,10     17,85      7,89      0,47      0,00     69,68
12:25:01        all      4,56     15,60      4,76      0,72      0,00     74,36
12:35:01        all      3,98     16,48      7,41      0,41      0,00     71,72
12:45:01        all      6,74     12,76      3,17      3,33      0,00     74,00
12:55:01        all     13,14      7,28      1,92      2,73      0,00     74,93
13:05:01        all     15,68      8,47      3,39      0,56      0,00     71,91
13:15:01        all      3,48     13,26      4,34      0,54      0,00     78,38
13:25:01        all      3,27      9,35      3,66      1,01      0,00     82,71
13:35:01        all     10,15      6,79      5,69      0,48      0,00     76,89
13:45:01        all      3,14     18,68      3,17      0,42      0,00     74,59
13:55:01        all      9,00      9,42      3,44      0,67      0,00     77,47
14:05:01        all      3,23     17,12      3,18      0,57      0,00     75,90
14:15:01        all      4,23     11,13      4,71      1,27      0,00     78,66
14:25:01        all      4,16     10,34      4,27      0,99      0,00     80,25
14:35:01        all      3,60     15,05      5,16      0,48      0,00     75,72

Average:        all      8,59     11,32      3,88      1,00      0,00     75,21
